English_sentences,Balochi_sentences
We waited.,Má wadár kot.
We walked.,Má krám etén.
We walked.,Má pádáná shotén.
We'll see.,Má gendén.
We'll try.,Má kóshest kanén.
We'll try.,Má johd kanén.
We'll win.,Má katthén.
We're hot.,Má garm geptagén.
We're sad.,Má molurén.
We're shy.,Márá lajj kant.
We've won!,Má katthetag!
Well done!,Shábásh!
Well done.,Shábásh.
What's on?,Ché bayagá ent?
What's up?,Ché bayagá ent?
Who cares?,Kay parwáh dárit?
Who drove?,Kayá gádhi tátk?
Who drove?,Kayá gádhi halláént?
Who is he?,Á kay ent?
Who is it?,Kay ent?
Who knows?,Kay zánt?
Who spoke?,Kayá gapp jat?
Who stood?,Kay óshtát?
Who'll go?,Kay rawt?
Who's she?,Á kay ent?
Wonderful!,Zabardast!
Wonderful.,Zabardast.
Write Tom.,Thámay sará kágadé dém day.
Write Tom.,Thámay sará nebeshtah kan.
You drive.,Taw gádhi táchay.
You idiot!,Sorná!
You idiot!,Shéptál!
You start.,Taw shoru kanay.
You stink.,Taw bu kanay.
You tried.,Taw kóshest kot.
You tried.,Taw johd kot.
You're OK.,Taw wassh ay.
These men.,É mardénán.
Those men.,Á mardénán.
Má krámén.,Má pádáná rawén.
Aim. Fire!,Neshánagá band. Payr kan!
He's rich.,Á sér ent.
How weird!,Chón ajab ent!
I knew it.,Man é zánt.
I may win.,Man balkén katthán.
I'll live.,Man zendag mánán.
I'm cured.,Man dráh bitagán.
They lost.,Áyán báhént.
I was new.,Man nók atán.
It's a TV.,É Thi Wié.
"Say ""aah.""","Bogosh ""áh"""
Say hello.,Bogosh hallaw.
Here's $5.,É 5 dhálar ant.
I am tall.,Man borz án.
I'm angry.,Man zahr án.
I'm awake.,Man ágah án.
I'm blind.,Man kór án.
I'm crazy.,Man ganók án.
I'm drunk.,Man nóshetag o neshah án.
I'm obese.,Man zandh án.
I'm ready!,Man jádhi án!
I'm right.,Man rást án.
I'm stuck.,Man gatth án.
I'm tough.,Man trond án.
It's sand.,É rék ant.
We're sad.,Má molur én.
I am sure.,Man jazm án.
I'm alone.,Man éok án.
I'm bored.,Man bór án.
I'm broke.,Man katháp án.
I'm ready.,Man jádhi án.
Split out.,Tokky kan.
Turn over.,Léthény.
Southwest.,Zerbárénroérshot.
Explosion.,Trák.
He smiled.,Áiá bechkandet.
I coughed.,Man kollet.
I giggled.,Man kethi kethi kandet.
I'll walk.,Man pádáná rawán.
It poured.,Hawrá sakk gwart.
Lie still.,Bé sor o porá bwaps.
Read this.,Eshiá bwán.
That's it.,Bass hamesh ent.
They lied.,Áyán dróg bast.
Tom froze.,Thám thanthet.
We agreed.,Má mannet.
We smiled.,Má bechkandet.
Go to bed.,Boraw bwaps.
I am okay.,Man barábar án.
I laughed.,Man kandet.
I'm sorry.,Maná pahel kan.
Tom moved.,Thám soret.
How awful!,Chincho bimnák ent!
I'll come.,Man káyán.
I'm sober.,Man pa hósh án.
I am sick.,Man nádráh án.
Don't cry.,Magre.
Nice shot!,Zabardastén shuthé!
I'm a spy.,Man jásusé án.
It's fair.,É ensáp ent.
Sign here.,Edá daznám kan.
Aim higher.,Bosterén maksadé bedár.
All aboard!,Drost sawár bay et!
All aboard!,Drost sawár bet!
Am I clear?,Mani gappá sarpad bitay?
Am I dying?,Man meragá án?
Am I early?,Man mahlah atkagán?
Am I early?,Man mahlaw atkagán?
Am I fired?,Maná kasshag butagán?
Am I fired?,Maná kasshetagesh?
Am I hired?,Maná keréhesh kotag?
Am I right?,Man rást án?
Am I weird?,Man ajab án?
Am I wrong?,Man rad án?
Answer Tom.,Thámay passawá beday.
Are you 18?,Tará 18 sál ent?
Are you in?,Taw tahá ay?
Are you OK?,Taw sharr ay?
Are you up?,Taw chestay?
Are you up?,Taw ágahay?
Ask anyone.,Haryakkéá jost kan.
Ask around.,Kash o kerrá jost kan.
Be careful!,Hayálá bedár!
Be careful!,Sambáli bekan!
Be careful.,Hayálá bedár.
Be careful.,Sambáli bekan.
Be patient.,Sabr kan.
Be serious.,Grán bay.
Be serious.,Grán bi.
Birds sing.,Morg choli choli kanant.
Bottoms up!,Nóshe ján!
Bring food.,Warák byár.
Bring help.,Komakk byár.
Bring help.,Madat byár.
Bring wine.,Wáen byár.
Can I come?,Man atk kanán?
Can I help?,Man komakk kot kanán?
Can I help?,Man madat kot kanán?
Can I sing?,Man sawt jat kanán?
Can I stay?,Man bejallán?
Carry this.,Eshiá chest kan.
Check that.,Becháry.
Check that.,Áiá betappás.
Check this.,Eshiá bechár.
Check this.,Eshiá betappás.
Choose one.,Yakké dar chen.
Come again.,Padá byá.
Come alone.,Éoká byá.
Come early.,Mahlah byá.
Come early.,Mahlaw byá.
Come on in!,Tahá byá!
Come on in.,Tahá byá.
Come quick!,Goshád byá!
Come to me.,Pa man byá.
Come to us.,Pa má byá.
Definitely!,Allamá!
Destroy it.,Tabáhy kan.
Did Tom go?,Thám shot?
Dig faster.,Goshádter kónch.
Dig faster.,Goshádter kalóndh.
Do come in.,Tahá byá.
Do come in.,Allamá tahá byá.
Do men cry?,Mardén gréwant?
Don't brag.,Bathák majan.
Don't come.,Mayá.
Don't jump!,Dawr makan!
Don't look.,Machár.
Don't move.,Masor.
Don't peek.,Sarokk makan.
Don't push.,Télánk maday.
Don't sing.,Sawt majan.
Don't stop.,Maósht.
Don't talk!,Gapp majan!
Don't wait.,Wadár makan.
Don't yell.,Kukkár makan.
Drink this.,Eshiá nósh.
Duty calls.,Mani parz ent.
Eat slowly.,Wár wárá bewar.
Examine it.,Betappásy.
Fill it up.,Porry kan.
Find a job.,Káré dar géj.
Fire burns.,Ás sóchit.
Follow him.,Áiay randgiriá bekan.
Follow Tom.,Thámay randá bay.
Follow Tom.,Thámay randgiri bekan.
Follow Tom.,Thámay randá bi.
Forget him.,Áiá shamosh.
Forget him.,Áiá béhál kan.
Forget Tom.,Thámá shamosh.
Forget Tom.,Thámá béhál kan.
Forgive us.,Márá pahell kan.
Get a life!,Shehmén zendé gwázén!
Get a life.,Shehmén zendé gwázén.
Get inside.,Tahá boraw.
Get moving.,Jonzán kan.
Get off me.,Maná dast majan.
Give it up!,Chápé bejan et!
Give it up.,Chápé bejan et.
Go on home.,Lógá boraw.
Go see Tom.,Boraw Thámá bechár.
Go to work.,Kárá boraw.
God exists.,Hodá hast.
Good night.,Shap wassh bát.
Have faith.,Setk bedár.
He gave in.,Áiá bésóbi mann et.
He gave up.,Áiá hemmat dawr dát.
He got a D.,Áiá dhié rast.
He hung up.,Áiá pawn sest.
He is a DJ.,Á dhi jayé.
He is busy.,Á dazgatth ent.
He is here!,Á hamedá ent!
He is kind.,Á mehrwán ent.
He is kind.,Á mehrabán ent.
He is mean.,Á námehrabán ent.
He is nice.,Á asillé.
He is poor.,Á wár ent.
He is sick.,Á nádráh ent.
He is tall.,Á borz ent.
He laughed.,Áiá kand et.
He made it.,Á sóbén but.
He made it.,Á sóbmand but.
He's broke.,Á kangalá ent.
He's cruel.,Á zálemé.
He's happy.,Á wassh ent.
He's lying.,Á dróg bandagá ent.
He's smart.,Á shawk ent.
He's Swiss.,Á swessé.
Head north.,Démá górichánay némagá kan.
"Hello, Tom.","Chón ay, Thám."
Here he is!,Esh ent atk!
Here it is.,Bezir esh ent.
Here we go.,Eshná.
Here's Tom.,Thám edá ent.
Here's Tom.,Esh ent Thám ent.
Hold still.,Masor.
Hold tight.,Mohr bedár.
How absurd!,Chónén bésarén gappé!
How boring!,Chinchok bézár kant!
How boring!,Chón bór kant!
How clever!,Chinchok shiwár ent!
How clever!,Chón shiwár ent!
How lovely!,Chinchok dóstnák ent!
How lovely!,Chón dóstnák ent!
How tragic!,Chinchok andóhnák ent!
How tragic!,Chón andóhnák ent!
How was it?,É chón at?
How's work?,Kár chón ent?
Hurry home.,Goshádiá lógá boraw.
I admit it.,Man eshiá mannán.
I am a boy.,Man bachakké án.
I am a man.,Man mardéné án.
I am going.,Man rawagá án.
I am happy.,Man wassh án.
I am human.,Man ensáné án.
I am ready.,Man jádhián.
I am right.,Man rástán.
I broke it.,É man prósht.
I built it.,É man addh kot.
I can come.,Man atk kanán.
I can cook.,Man kanwar kot kanán.
I can jump.,Man dawr kot kanán.
I can sing.,Man sawt jat kanán.
I can stay.,Man jallet kanán.
I can swim.,Man ózhnág kot kanán.
I can wait.,Man wadár kot kanán.
I can't go.,Man shot nakanán.
I canceled.,Man mahtal kot.
I canceled.,Man kótá kot.
I chew gum.,Man chilgom waragá án.
I chew gum.,Man chilgom warán.
I did that.,Man chó kot.
I disagree.,Man namannán.
I drank it.,É man nósh et.
I eat here.,Man edá warán.
I eat meat.,Man gósht warán.
I eat rice.,Man batth warán.
I envy her.,Man cha áiá hasadd kanán.
I envy him.,Man pa áiá ábrogig án.
I envy Tom.,Man pa Thámá ábrogig án.
I feel bad.,Maná é chizz wassh nabit.
I feel old.,Man márán ke pirán.
I felt sad.,Maná ranj but.
I fixed it.,Man é thahént.
I fixed it.,Man é addh kot.
I found it.,Man é dar gétk.
I found it.,Man é dist.
I got an A.,"Maná ""a""é ras et."
I got an A.,"Man ""A""é gept."
I got cold.,Maná passhánká gept.
I had help.,Maná madat ras et.
I hate Tom.,Maná gón Thámá naprat ent.
I have one.,Maná yakké hast.
I have won.,Man katthetag.
I hear you.,Man tai gappá eshkonagá án.
I heard it.,É man eshkot.
I help him.,Man áiá madat kanán.
I hope not.,Man omét nakasshán.
I just ate.,Man anni wárt.
I knew Tom.,Man Thám zántag.
I know her.,Man áiá zánán.
I know him.,Man áiá zánán.
I know now.,Ni man zánán.
I know Tom.,Man Thámá zánán.
I know you.,Man tará zánán.
I like art.,Maná ezm dóst bit.
I like him.,Man á dóst bit.
I like tea.,Maná cháh wassh bit.
I like tea.,Maná cháh wassh bit
I like Tom.,Maná Thám dóst bit.
I like you.,Taw maná dost bay.
I like you.,Maná taw dost bay.
I listened.,Man gósh dásht.
I love her.,Á maná dost bit.
I love him.,Maná á dóst bit.
I love tea.,Maná cháh wassh bit.
I love tea.,Maná cháh wassh bit
I love Tom.,Maná Thám dóst bit.
I love you.,Taw maná dost bay.
I loved it.,Maná é dóst but.
I made tea.,Man cháh grást.
I meant it.,Mani niyat hamésh at.
I met them.,Man gón áyán gend o nend kot.
I met them.,Man gón áyán dochár kaptán.
I miss him.,Maná pa áiá zahir kant.
I miss Tom.,Maná Thám gir kayt.
I miss Tom.,Maná pa Thámá zahir kant.
I miss you.,Maná pa taw zahir kant.
I need air.,Maná gwát pakár ent.
I need air.,Man gwát lóthán.
I need ice.,Maná barp pakár ent.
I need ice.,Man barp lóthán.
I need Tom.,Maná Thám darkár ent.
I need Tom.,Man Thámá lóthán.
I need you.,Maná tai zalurat ent.
I need you.,Man tará lóthán.
I panicked.,Maná torsé chér kapt.
I pity you.,Maná tai sará bazzag bit.
I promised.,Man wádah kot.
I ran away.,Man jestán.
I ran home.,Man pa lógá tachán kot.
I ran home.,Man dém pa lógá tachán bitán.
I remember.,Maná yát ent.
I resigned.,Man daskassh bitán.
I said yes.,Man gosht haw.
I sat down.,Man neshtán.
I saw that.,Man á dist.
I saw them.,Man á distant.
I see that.,Man sarpad bayán.
I see that.,Man sarpad bán.
I shot Tom.,Man Thám tir jat.
I survived.,Man rakketán.
I think so.,Man anchó sarpad bayán.
I think so.,Man anchó sarpad bán.
I threw up.,Man sar shánt.
I threw up.,Man sar shán kot.
I told Tom.,Man Thám gosht gón.
I use this.,Man eshiá kármarz kanán.
I want one!,Man yakké lóthán!
I want one.,Man yakké lóthán.
I want Tom.,Man Thámá lóthán.
I want you.,Man tará lóthán.
I was away.,Man diratán.
I was busy.,Man dazgatth atán.
I was cold.,Man sárt atán.
I was good.,Man sharr atán.
I was rude.,Man béadab atán.
I was sick.,Man bimmár atán.
I whistled.,Man shézár et.
I will try.,Man kóshest kanán.
I will try.,Man johd kanán.
I won't go.,Man narawán.
I'll be OK.,Man sharr bayán.
I'll be OK.,Man sharr bán.
I'll do it.,Many kanán.
I'll go in.,Man tahá rawán.
I'll hurry.,Man goshád kanán.
I'll shoot.,Man tirbár kanán.
I'll stand.,Man óshtán.
I'll start.,Man bendát kanán.
I'm a cook.,Man waraggrádé án.
I'm a girl.,Man jenekké án.
I'm a hero.,Man bámardé án.
I'm a monk.,Man ráhebé án.
I'm afraid.,Maná torsit.
I'm amused.,Man washnódán.
I'm anemic.,Mani hón kamm ent.
I'm baking.,Man pachagá án.
I'm better.,Man gehterán.
I'm better.,Man sharterán.
I'm biased.,Man ryá o ru kanán.
I'm buying.,Man bahá ziragá án.
I'm chubby.,Man zandhán.
I'm chubby.,Man porrá porr án.
I'm coming.,Man pédákán.
I'm eating.,Man waragá án.
I'm famous.,Man námdár án.
I'm for it.,Man haméshiay némagá án.
I'm greedy.,Man lálechié án.
I'm hiding.,Man chér bayagá án.
I'm humble.,Man bésháné án.
I'm hungry!,Man gozhnagán!
I'm hungry!,Man shodig án!
I'm hungry.,Man shodig án.
I'm immune.,Man ampás án.
I'm in bed.,Man tahtsará án.
I'm in bed.,Man tahsará án.
I'm inside.,Man tahá án.
I'm lonely.,Man tahná án.
I'm losing.,Man babá dayagá án.
I'm mature.,Man bálegán.
I'm moving.,Man laddhagá án.
I'm not OK.,Man bróbar nayán.
I'm OK now.,Ni man bróbarán.
I'm rested.,Man dam kotag.
I'm ruined.,Man barbád án.
I'm scared.,Maná torsagá ent.
I'm scared.,Man deltrakk án.
I'm single.,Man yakké án.
I'm single.,Man yaksháhán.
I'm sleepy!,Man wabénagán!
I'm sneaky.,Man chérporé án.
I'm so fat.,Man sakk zandhán.
I'm thirty.,Maná si sál ent.
I'm twelve.,Maná dwázdah sál ent.
I'm unsure.,Man pakká nayán.
I've eaten.,Man wártag.
I've tried.,Man kóshest kotag.
I've tried.,Man johd kotag.
Ignore Tom.,Thámá dhálchár kan.
Ignore Tom.,Thámá bay makan.
Is he busy?,Á dazgatth ent?
Is he tall?,Á borz ent?
Is it done?,É butag?
Is it done?,É tawám ent?
Is it free?,É mopt ent?
Is it good?,É sharr ent?
Is it love?,Mehr hamésh ent?
Is it over?,É halás ent?
Is it time?,Hame wahd ent?
Is that it?,hamésh ent?
Is this it?,hamésh ent?
Is this OK?,É sharr ent?
Is Tom big?,Thám baláhé?
Is Tom hot?,Thám porkashesh ent?
Is Tom ill?,Thám nádráh ent?
Is Tom ill?,Thám nádráh ent.
Is Tom out?,Thám dhanná ent?
It happens.,Chó bit.
It is 7:45.,7:45 ent.
It matters.,É arzesht dárit.
It was big.,É mazan at.
It'll work.,É kár kant.
It's a bet.,É sharté.
It's a fad.,É shawké.
It's alive.,É zendag ent.
It's bogus.,É kudháé.
It's bulky.,É sakk mazan ent.
It's clean.,É sapá ent.
It's clear.,É paddar ent.
It's close.,É nazzikk ent.
It's early.,Mahlah ent.
It's early.,Mahlaw ent.
It's great.,É sakk sharr ent.
It's green.,É sabz ent.
It's my CD.,É mani sidhi ent.
It's night.,Shap ent.
It's on me.,É mani sará ent.
It's ready.,É tyár ent.
It's ready.,É tayár ent.
It's shiny.,É trepók ent.
It's stuck.,É passetag.
It's there.,É ódá ent.
It's Tom's.,É Thámayg ent.
It's white.,É espét ent.
It's windy.,Gwát ent.
It's yours.,É shomayg ent.
Jesus wept.,Issáyá grét.
Just do it.,Bass bekany.
Just relax.,Bass árám bay.
Just relax.,Bass árám bi.
Keep going.,Rawán kan.
Keep it up!,Barjáhy bedár!
Keep it up.,Barjáhy bedár.
Keep quiet!,Bétawár bay!
Keep quiet!,Hámósh bi!
Keep quiet.,Bétawár bay.
Keep quiet.,Hámósh bi.
Keep still.,Masor.
Leave town.,Shahrá yalah kan.
Let him go!,Áiá rawagá bell!
Let him go.,Áiá bell rawt.
Let me die.,Maná bell merán.
Let me out!,Maná dar áyagá bell!
Let me pay.,Bell man mókánesh.
Let me pay.,Bell man zarrán dayán.
Let me see.,Bell man chárány.
Let me see.,Bell man chárán.
Let me try.,Bell man koshest kanán.
Let Tom go.,Thámá rawagá bell.
Let Tom in.,Thámá bell tahá kayt.
Let us out.,Bell má dhanná rawén.
Let's pray.,Byá dwá kanén.
Let's talk.,Byá trán kanén.
Let's talk.,Byá gapp janén.
Let's vote.,Byá óth kanén.
Let's wait.,Byá wadár kanén.
Let's walk.,Byá krámén.
Let's walk.,Byá pádáná rawén.
Let's work.,Byá kár kanén.
Look again.,Padá bechár.
Look ahead.,Démá bechár.
Look at it.,Becháry.
Look at me.,Maná bechár.
Look at us.,Márá bechár.
Look it up.,Patthy.
Look there.,Ódá bechár.
Love hurts.,Mehr dardig kant.
Love lasts.,Mehr mánit.
Mama cried.,Mátá grét.
Never mind!,Parwáh nést!
No comment.,Hecch nagoshán.
No kidding?,Maskará nakanay?
No problem!,Moshkol naent!
No problem.,Parwáh nést.
Nobody ran.,Kass natatk.
"Oh, really?","Oh, wáki?"
Once again.,Yabbaré padá.
Pick it up.,Eshiá chest kan.
Pick it up.,Chesty kan.
Please eat.,Mehrabáni kan bewar.
Pull me up.,Maná hakkall kan.
Quiet down.,Bétawár bay.
Quiet down.,Hámósh bi.
Replace it.,Eshiay badalá degeré ér kan.
Run for it!,Dastán tokk jan!
Say cheese.,Bechkand.
Say please.,Begosh mehrabáni kan.
Scoot over.,Kammé kenz.
Shadow him.,Chó sáhegá áiá gón bay.
Shadow him.,Chó sáhegá áiá gón bi.
She is old.,Á pir ent.
She smiled.,Áiá bechkand et.
She's busy.,Á dazgatth ent.
She's mine.,Á manig ent.
Sing along.,Hamráhiá bejan gón.
Sing along.,Hamráhiá sawt bejan gón.
Smell this.,Eshiá bu chen.
Start here.,Chedá bendát kan.
Start over.,Padá bendát kan.
Stay sharp.,Tézpahmiá barjáh bedár.
Step aside.,Yakkerr bay.
Step aside.,Yakkerr bi.
Step on it!,Tézter boraw!
Stop lying.,Drógay bandagá band kan.
Stop lying.,Drogay bandagá band kan.
Stop there.,Ódá bedár.
Study more.,Géshter bewán.
Take a bus.,Basé beger.
Take a nap.,Nérmóchi wábé bejan.
Take cover!,Newáné beger!
Take these.,Eshán bezir.
Talk to me!,Gón man gapp jan!
Talk to me.,Gón man gapp jan.
Taste this.,Eshiá bechash.
That a boy!,Gandah bachakké!
That hurts.,É tawrénit.
That'll do.,Bass ent.
That's all.,Bass haminchok.
That's his.,É áiayg ent.
That's new.,É nók ent.
That's sad.,Dardi gappé.
That's Tom.,É Thám ent.
That's wet.,É tarr ent.
They agree.,Á rázi ant.
They agree.,Á mannant.
They cheat.,Á nakl kanant.
They slept.,Á waptant.
They stood.,Á óshtátant.
They tried.,Áyán kóshest kot.
They tried.,Áyán johd kot.
They voted.,Áyán óth dát.
They're in.,Á tyár ant.
They're in.,Á tahá ant.
Think hard.,Chár o bicchár bekan.
This is it.,hamésh ent.
This is me.,É man án.
This is OK.,É sharr ent.
This'll do.,É bass ant.
Time is up.,Wahd halás ent.
Tom agreed.,Thámá mann et.
Tom agrees.,Thám mannit.
Tom ate it.,Thámá é wárt.
Tom bit me.,Thámá maná gass et.
Tom braked.,Thámá berekk jat.
Tom burped.,Thámá bákár et.
Tom called.,Thámá pawn kot.
Tom cheats.,Thám nakl kant.
Tom cursed.,Thámá lánat kot.
Tom danced.,Thámá nách kot.
Tom dances.,Thám nách kant.
Tom did it.,É Thámá kot.
Tom drinks.,Thám nóshit.
Tom drives.,Thám gádhi halláénit.
Tom failed.,Thám bésób but.
Tom forgot.,Thám shamosht.
Tom forgot.,Thám béhál but.
Tom fought.,Thám medh et.
Tom gasped.,Thámá nakkok jat.
Tom goofed.,Thám násarpadié kot.
Tom got up.,Thám pád atk.
Tom has it.,Thámay kerrá é hast.
Tom helped.,Thámá komakk kot.
Tom helped.,Thámá madat kot.
Tom hit me.,Thámá maná jat.
Tom is bad.,Thám haráb ent.
Tom is big.,Thám mazan ent.
Tom is fat.,Thám zandh ent.
Tom is fun.,Thám washtabé.
Tom is ill.,Thám nádráh ent.
Tom is mad.,Thám ganók ent.
Tom is new.,Thám nók ent.
Tom is odd.,Thám ajab ent.
Tom is old.,Thám pir ent.
Tom is out.,Thám dhanná ent.
Tom is sad.,Thám gamig ent.
Tom is shy.,Thámá lajj kant.
Tom is wet.,Thám missetag.
Tom jumped.,Thámá dawr kot.
Tom looked.,Thám chár et.
Tom moaned.,Thámá áhé kassh et.
Tom moaned.,Thámá nár et.
Tom nodded.,Thámá pa haw sar sorént.
Tom obeyed.,Thámá parmánbardári kot.
Tom paints.,Thám rang kant.
Tom paints.,Thám rang jant.
Tom paused.,Thámá dásht.
Tom phoned.,Thámá pawn kot.
Tom prayed.,Thámá dwá kot.
Tom rested.,Thámá dam kot.
Tom sat up.,Thám pád atk o nesht.
Tom saw it.,Thámá é dist.
Tom saw me.,Thámá maná dist.
Tom saw us.,Thámá márá dist.
Tom shaved.,Thámá rissh sát.
Tom sighed.,Thámá áhé kassh et.
Tom smiled.,Thámá bechkand et.
Tom smoked.,Thámá segréth kassh et.
Tom smoked.,Thámá segréth kasshet
Tom smokes.,Thám segréth kasshit.
Tom snores.,Thám garrádhit.
Tom stayed.,Thám jall et.
Tom talked.,Thámá gapp jat.
Tom waited.,Thámá wadár kot.
Tom walked.,Thámá krám et.
Tom walked.,Thám pádáná shot.
Tom winked.,Thámá chamokké jat.
Tom worked.,Thámá kár kot.
Tom yawned.,Thámá gehás et.
Tom yelled.,Thámá kukkár kot.
Tom'll cry.,Thám grét.
Tom'll die.,Thám merit.
Tom'll pay.,Thám zarrán dant.
Tom's busy.,Thám dazgatth ent.
Tom's deaf.,Thám karr ent.
Tom's died.,Thám mortag.
